#
# Sample Channel Configuration Database File
#
# Copyright (c) 2006-2007 by cisco Systems, Inc.
#

#
# This data file can be used for generating the channel configuration file for current lab setting
#

#
# The following line is to specify the total number of channels
#
9

#
# Each of the following lines defines a channel. There are a total of 14 parameters per channel.
# The syntax is as follows:
#
# role mode orig-mc-addr orig-rtp-port orig-src-addr orig-bit-rate
# re-sourced-mc-addr re-sourced-rtp-port
# fbt-addr rtx-rtp-port
# fec-col-mc-addr fec-col-rtp-port
# fec-row-mc-addr fec-row-rtp-port
# 
# You must provide a valid value for each parameter.
# 
# role := ssm_ds | vam | stb
# mode := source | lookaside
# orig-mc-addr := [multicast address from video source]
# orig-rtp-port := [udp or rtp port of video source]
# orig-src-addr := [source address for video server]
# orig-bit-rate := [in kbit/sec]
# re-sourced-mc-addr := [use 224.0.0.0 if in lookaside mode; otherwise, use the address space assign to you.
#			 It must be unique per channel.]
# re-sourced-rtp-port := [use 0 if in lookaside mode]
# fbt-addr := [feedback target address]
# rtx-rtp-port := [unicast retransmission rtp port]
# fec-col-mc-addr := [multicast address for FEC column stream]
# fec-col-rtp-port := [rtp port of FEC column stream]
# fec-row-mc-addr := [multicast address for FEC row stream]
# fec-row-rtp-port := [rtp port of FEC row stream]

#
# For example,
# vam source    224.1.1.1 50000 192.168.1.1 5500 232.1.1.1 45000 10.10.20.114 46000 0.0.0.0 0 0.0.0.0 0
# vam source    224.1.1.2 50000 192.168.1.2 5500 232.1.1.2 45002 10.10.20.114 46002 0.0.0.0 0 0.0.0.0 0
# vam lookaside 224.1.1.3 50000 192.168.1.3 5500 232.1.1.3 45004 10.10.20.114 46004 224.1.1.4 50002 224.1.1.6 50004
#
# Note:
#	1. The combination of multicast address and rtp port for original stream must be unique per channel.
#	2. If it is lookaside mode, the combination of fbt address and rtcp port for original stream must be unique per channel.
#	3. If it is source mode, the combination of fbt address and rtcp port for re-sourced stream must be unique per channel.
#	4. The combination of fbt address and rtp port for retransmission stream must be unique per channel.

stb lookaside 230.151.1.1 41000 5.8.37.2 4000  224.0.0.0  45000  10.10.30.1  47000 230.20.1.1 48000 230.30.1.1 49000
stb lookaside 230.151.1.2 41004 5.8.37.2 4000  224.0.0.0  45000  10.10.30.2  47000 230.20.1.2 48000 230.30.1.2 49000
stb lookaside 230.151.1.3 41008 5.8.37.2 4000  224.0.0.0  45000  10.10.30.3  47000 230.20.1.3 48000 230.30.1.3 49000
stb lookaside 230.151.1.4 41012 5.8.37.2 4000  224.0.0.0  45000  10.10.30.4  47000 230.20.1.4 48000 230.30.1.4 49000
stb lookaside 230.151.1.5 41016 5.8.37.2 2500  224.0.0.0  45000  10.10.30.5  47000 230.20.1.5 48000 230.30.1.5 49000
stb lookaside 230.151.1.6 41020 5.8.37.2 2500  224.0.0.0  45000  10.10.30.6  47000 230.20.1.6 48000 230.30.1.6 49000
stb lookaside 230.151.1.7 41024 5.8.37.2 16000 224.0.0.0  45000  10.10.30.7  47000 230.20.1.7 48000 230.30.1.7 49000
stb lookaside 230.151.1.8 41028 5.8.37.2 16000 224.0.0.0  45000  10.10.30.8  47000 230.20.1.8 48000 230.30.1.8 49000
stb lookaside 230.151.1.9 41032 5.8.37.2 20000 224.0.0.0  45000  10.10.30.9  47000 230.20.1.9 48000 230.30.1.9 49000

